spec_cent,spec_bw,rolloff,zcr,chroma_stft,mfcc0,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13,mfcc14,mfcc15,mfcc16,mfcc17,mfcc18,mfcc19,label
913.7186958168473,1543.8094631723184,1740.2394770099652,0.01715031201625387,0.37640584,-465.0833,144.41014,-9.829946,18.128386,10.030589,20.290798,6.280615,5.689924,8.072883,7.584889,-1.6651095,1.4209948,1.8657559,1.7859517,2.986183,-2.072179,-1.3248631,-3.46262,-0.5374976,-4.4732385,air
1264.8408727827702,2002.883824559632,2359.7357310008706,0.027086759868421052,0.49089003,-366.78357,195.29306,-15.089975,19.255026,13.27335,26.010294,6.9494977,4.251423,10.836584,9.441277,-2.4734604,0.17102185,1.6147865,3.0961773,4.404872,-2.8221023,-1.3533897,-2.4037886,0.60394686,-3.3979712,air
1200.4021347231799,1990.2964081565515,2238.636463271575,0.02400892511609907,0.5087024,-363.53976,192.6122,-11.329023,23.03039,21.43014,23.140823,4.836724,5.3134093,10.21031,7.428835,2.915639,-0.60004926,-1.7872806,0.2671642,0.08213025,-3.8477168,-0.8203669,-0.96897376,-0.3184069,-3.8176806,air
1173.1266718441454,1957.0007248291026,2107.25392439048,0.024793500870743033,0.49214864,-360.19077,191.45421,-3.3221061,18.500967,22.702509,18.680431,5.2605457,5.724173,8.882008,6.9194517,1.8201375,-2.0437062,-0.91966224,2.048093,0.61627793,-4.0285277,-0.46749443,1.1672136,-0.7790619,-4.6207786,air
1333.7187384391473,2144.236365906947,2519.751430074497,0.025989260835913314,0.49805537,-351.9548,186.65797,-6.0295424,24.040827,17.618809,20.249252,3.2770298,4.907905,6.062211,7.405452,1.0419631,-1.7744594,-0.19176008,0.3319362,1.3296653,-4.1597843,-0.48766038,0.8139605,-0.7670671,-5.519193,air
1137.4950187303675,1897.6541340435356,2110.8205694901317,0.022689205205108358,0.45753288,-391.08374,176.04327,-12.17526,21.95635,16.668205,23.753021,10.887155,9.434577,7.234473,8.067925,-0.49303624,-3.3946612,0.11654946,1.02651,1.2937783,-3.3729055,0.81663525,0.8049292,-1.2239463,-6.300048,air
1224.4432546549676,2119.1324154723084,2245.4530887190404,0.022689205205108358,0.5251206,-372.2129,180.41895,-8.353554,22.68792,16.712473,26.255678,19.941635,15.312358,12.324053,9.3978615,-0.038982756,-2.9068067,0.051479824,1.2263539,0.1528246,-4.072753,-0.7493858,-0.40361917,-1.5492227,-5.7651258,air
1230.9769138565575,1987.9738069652174,2299.3527627950853,0.02629424765383127,0.52165264,-364.34308,188.61795,-12.456673,17.253012,16.29261,23.885162,20.573341,10.833524,10.855012,7.948339,-1.2727636,-3.932101,-0.28998435,1.8528314,1.0999901,-2.9299793,-0.9385977,1.0398384,-1.1273816,-5.3844113,air
773.1255705115234,1525.4152842736446,1202.1093976756,0.01375728642608359,0.5084246,-353.39102,164.72484,15.767364,22.946781,23.767021,17.748795,6.8559237,7.822882,4.9195237,7.1564527,-1.3677264,-0.51103723,2.4658082,0.7704129,1.9267869,-4.988395,-0.42735216,0.7234533,-0.13492018,-3.9578502,air
650.1554196190054,1497.8813550350244,897.1445750894931,0.01142661268866099,0.65711635,-276.64316,213.69766,26.406597,35.534138,28.22399,18.218958,1.4128567,3.0894334,4.0959516,8.820745,-4.340047,-0.29032084,6.7766886,2.8592432,3.671521,-7.235797,-0.25291723,0.55079156,1.2257957,-4.491167,air
672.2717347295581,1482.0667094747164,992.6273310516641,0.0120849609375,0.6368839,-269.99063,217.72437,23.18862,30.176392,23.53815,16.773542,2.9499888,3.922457,5.099636,6.765343,-3.600774,1.3086748,7.4417305,3.1311772,3.2851183,-5.7423234,0.11011211,0.655215,1.0848646,-3.441489,air
664.6171734313132,1473.119581382059,977.8107539788119,0.012132579697174923,0.626901,-271.4056,220.12222,25.283775,29.752388,19.82968,16.242558,3.7214816,5.4187217,4.199407,5.385634,-2.4231074,1.7668905,6.8012605,3.5811253,3.8196046,-6.232609,-0.2943586,-0.004377501,1.2416413,-3.115476,air
751.4640834266328,1584.0934523468247,1185.2094998669697,0.013699463646478328,0.61229086,-261.23065,214.46793,22.8393,30.675074,19.345688,17.949995,4.2690983,3.3226614,3.2474418,5.894016,-2.6383917,1.1261562,6.4005947,3.29177,4.601281,-5.038803,-1.6768508,0.57959986,2.1001036,-3.272546,air
554.3195324008782,1150.5351295022222,882.3113314507547,0.010756548713235295,0.46572402,-344.42554,166.29678,21.812103,19.61447,10.318862,12.162246,5.6502657,4.0669293,3.3555315,4.6616726,-1.7253383,-0.11027927,4.2057424,1.1709883,1.4083855,-2.539504,0.165916,0.35298687,0.4875012,-2.2213247,air
756.3116692397514,1611.7887556578542,1183.9261742937306,0.013560386634094427,0.60848784,-271.84906,219.90926,34.583694,26.062052,-2.9833415,15.857863,11.881877,8.7630005,4.1454535,5.7175903,0.27406982,2.6840727,4.95896,-1.8283365,-0.24833599,-4.016972,0.7102191,1.6705416,-1.2856661,-4.0992208,air
822.8873192689753,1622.9279165028586,1388.5749368106617,0.016866867018188854,0.61195374,-263.44916,214.81119,11.995059,21.895533,11.136775,23.599497,12.813289,13.549573,2.0567675,1.9756302,4.1588945,0.3515742,0.9537883,-1.0660739,1.9892797,-7.344701,-0.3082654,4.208416,-0.5221328,-5.3056784,air
730.745363027266,1625.6148261149042,1200.4927407846362,0.009099718217879258,0.5170482,-369.68707,141.79503,14.903411,24.604307,18.104538,23.189741,9.722676,14.562064,2.9297264,3.4064438,1.0809383,1.7436119,1.8294839,0.5936452,4.2623925,-2.3228333,2.7880828,2.7816422,4.1641,0.75468594,air
938.7239497171979,2051.348516920185,1657.0233135400542,0.01264618203366873,0.60411006,-321.4646,172.89041,12.256549,27.919018,26.830688,32.251842,15.183346,17.111193,2.8532794,3.5885973,-0.6878927,2.5000534,3.250056,1.4534315,8.724483,0.9708925,5.9341416,5.4284663,6.922313,3.1592531,air
810.7759820293957,1826.3359021145116,1335.0919268817725,0.012051325464396285,0.6241848,-338.2384,181.75487,17.862717,21.30833,28.027132,30.916124,18.254683,15.913055,3.9267876,1.3465598,-0.5773274,3.205983,2.4152567,0.16363087,5.9955015,0.1753669,5.27345,6.181534,6.847734,4.5470314,air
